amfi_code,fund_house,scheme_name,category,sub_category,plan,launch_date,benchmark,expense_ratio_pct,exit_load_pct,min_sip_amount,min_lumpsum_amount,fund_manager,risk_category,sebi_category_code
119551.0,SBI Mutual Fund,SBI Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Regular,14-02-2006,NIFTY 100 TRI,1.54,1.0,500.0,1000.0,Sohini Andani,Moderate,EC01
119552.0,SBI Mutual Fund,SBI Bluechip Fund - Direct Plan - Growth,Equity,Large Cap,Direct,01-01-2013,NIFTY 100 TRI,0.66,1.0,500.0,1000.0,Sohini Andani,Moderate,EC01
119598.0,SBI Mutual Fund,SBI Small Cap Fund - Regular Plan - Growth,Equity,Small Cap,Regular,09-09-2009,BSE 250 SmallCap TRI,1.43,1.0,500.0,1000.0,R. Srinivasan,Very High,EC03
119599.0,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth,Equity,Small Cap,Direct,01-01-2013,BSE 250 SmallCap TRI,0.72,1.0,500.0,1000.0,R. Srinivasan,Very High,EC03
119120.0,SBI Mutual Fund,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Gilt,Regular,30-12-2000,CRISIL Dynamic Gilt Index,0.77,0.0,500.0,1000.0,Dinesh Ahuja,Low,DC02
100016.0,HDFC Mutual Fund,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Large Cap,Regular,11-09-1996,NIFTY 100 TRI,1.55,1.0,500.0,1000.0,Rahul Baijal,Moderate,EC01
125497.0,HDFC Mutual Fund,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Large Cap,Direct,01-01-2013,NIFTY 100 TRI,0.92,1.0,500.0,1000.0,Rahul Baijal,Moderate,EC01
100033.0,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Mid Cap,Regular,25-06-2007,NIFTY Midcap 150 TRI,1.38,1.0,500.0,1000.0,Chirag Setalvad,High,EC02
125498.0,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Mid Cap,Direct,01-01-2013,NIFTY Midcap 150 TRI,0.78,1.0,500.0,1000.0,Chirag Setalvad,High,EC02
100025.0,HDFC Mutual Fund,HDFC Short Term Debt Fund - Regular - Growth,Debt,Short Duration,Regular,25-06-2002,CRISIL Short Term Bond Index,0.56,0.5,500.0,1000.0,Anil Bamboli,Low,DC02
120503.0,ICICI Prudential MF,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,23-05-2008,NIFTY 100 TRI,1.42,1.0,500.0,1000.0,Anish Tawakley,Moderate,EC01
120504.0,ICICI Prudential MF,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,01-01-2013,NIFTY 100 TRI,0.8,1.0,500.0,1000.0,Anish Tawakley,Moderate,EC01
120505.0,ICICI Prudential MF,ICICI Pru Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,28-10-2004,NIFTY Midcap 150 TRI,1.36,1.0,500.0,1000.0,Sankaran Naren,High,EC02
120506.0,ICICI Prudential MF,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Value,Regular,16-08-2004,NIFTY 500 TRI,1.41,1.0,500.0,1000.0,Sankaran Naren,Moderately High,EC06
120507.0,ICICI Prudential MF,ICICI Pru Liquid Fund - Regular - Growth,Debt,Liquid,Regular,17-11-2001,CRISIL Liquid Fund AI Index,0.74,0.0,500.0,5000.0,Rahul Goswami,Low,DC01
118632.0,Nippon India MF,Nippon India Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,08-08-2004,NIFTY 100 TRI,1.51,1.0,500.0,1000.0,Sailesh Raj Bhan,Moderate,EC01
118633.0,Nippon India MF,Nippon India Large Cap Fund - Direct - Growth,Equity,Large Cap,Direct,01-01-2013,NIFTY 100 TRI,0.72,1.0,500.0,1000.0,Sailesh Raj Bhan,Moderate,EC01
118634.0,Nippon India MF,Nippon India Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,16-09-2010,BSE 250 SmallCap TRI,1.53,1.0,500.0,1000.0,Samir Rachh,Very High,EC03
118635.0,Nippon India MF,Nippon India ETF Nifty 50 BeES,Equity,Index/ETF,Direct,28-12-2001,NIFTY 50 TRI,0.89,0.0,500.0,100.0,Vishal Jain,Moderate,EI01
118636.0,Nippon India MF,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Gilt,Regular,19-08-1999,CRISIL Dynamic Gilt Index,0.55,0.0,500.0,1000.0,Vivek Sharma,Low,DC02
120841.0,Kotak Mahindra MF,Kotak Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,29-12-2005,NIFTY 100 TRI,1.59,1.0,500.0,1000.0,Harsha Upadhyaya,Moderate,EC01
120842.0,Kotak Mahindra MF,Kotak Emerging Equity Fund - Regular - Growth,Equity,Mid Cap,Regular,30-03-2007,NIFTY Midcap 150 TRI,1.56,1.0,500.0,1000.0,Pankaj Tibrewal,High,EC02
120843.0,Kotak Mahindra MF,Kotak Flexicap Fund - Regular - Growth,Equity,Flexi Cap,Regular,11-08-2009,NIFTY 500 TRI,1.45,1.0,500.0,1000.0,Pankaj Tibrewal,Moderately High,EC04
120844.0,Kotak Mahindra MF,Kotak Liquid Fund - Regular - Growth,Debt,Liquid,Regular,03-03-2004,CRISIL Liquid Fund AI Index,0.6,0.0,500.0,5000.0,Deepak Agrawal,Low,DC01
119092.0,Axis Mutual Fund,Axis Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,05-01-2010,NIFTY 100 TRI,1.64,1.0,500.0,1000.0,Shreyash Devalkar,Moderate,EC01
119093.0,Axis Mutual Fund,Axis Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,01-01-2013,NIFTY 100 TRI,0.75,1.0,500.0,1000.0,Shreyash Devalkar,Moderate,EC01
119094.0,Axis Mutual Fund,Axis Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,18-02-2011,NIFTY Midcap 50 TRI,1.38,1.0,500.0,1000.0,Jinesh Gopani,High,EC02
119095.0,Axis Mutual Fund,Axis Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,29-11-2013,BSE 250 SmallCap TRI,1.38,1.0,500.0,1000.0,Anupam Tiwari,Very High,EC03
101206.0,Aditya Birla Sun Life MF,ABSL Frontline Equity Fund - Regular - Growth,Equity,Large Cap,Regular,30-08-2002,NIFTY 100 TRI,1.6,1.0,500.0,1000.0,Mahesh Patil,Moderate,EC01
101207.0,Aditya Birla Sun Life MF,ABSL Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,31-05-2007,BSE 250 SmallCap TRI,1.53,1.0,500.0,1000.0,Mircea Ciobanu,Very High,EC03
101208.0,Aditya Birla Sun Life MF,ABSL Liquid Fund - Regular - Growth,Debt,Liquid,Regular,17-04-2000,CRISIL Liquid Fund AI Index,0.79,0.0,500.0,5000.0,Maneesh Dangi,Low,DC01
102885.0,UTI Mutual Fund,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Index,Regular,06-03-2000,NIFTY 50 TRI,1.57,0.0,500.0,1000.0,Sharwan Kumar Goyal,Moderate,EI01
102886.0,UTI Mutual Fund,UTI Mid Cap Fund - Regular - Growth,Equity,Mid Cap,Regular,07-04-2004,NIFTY Midcap 150 TRI,1.51,1.0,500.0,1000.0,V Srivatsa,High,EC02
102887.0,UTI Mutual Fund,UTI Flexi Cap Fund - Regular - Growth,Equity,Flexi Cap,Regular,18-05-2005,NIFTY 500 TRI,1.64,1.0,500.0,1000.0,Ajay Tyagi,Moderately High,EC04
148567.0,Mirae Asset MF,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,04-04-2008,NIFTY 100 TRI,1.46,1.0,500.0,1000.0,Gaurav Misra,Moderate,EC01
148568.0,Mirae Asset MF,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Large & Mid Cap,Regular,09-07-2010,NIFTY Large Midcap 250 TRI,1.52,1.0,500.0,1000.0,Neelesh Surana,Moderately High,EC04
148569.0,Mirae Asset MF,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,ELSS,Regular,28-12-2015,NIFTY 500 TRI,1.6,1.0,500.0,1000.0,Neelesh Surana,High,EC05
149322.0,DSP Mutual Fund,DSP Top 100 Equity Fund - Regular - Growth,Equity,Large Cap,Regular,10-03-2003,NIFTY 100 TRI,1.54,1.0,500.0,1000.0,Apoorva Shah,Moderate,EC01
149323.0,DSP Mutual Fund,DSP Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,16-11-2006,NIFTY Midcap 150 TRI,1.61,1.0,500.0,1000.0,Vinit Sambre,High,EC02
149324.0,DSP Mutual Fund,DSP Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,14-06-2007,BSE 250 SmallCap TRI,1.52,1.0,500.0,1000.0,Vinit Sambre,Very High,EC03
